URL,Title,Price,Specs,Description,Categories
https://kajalnaina.com/product/split-shank-diamond-engagement-ring/,Split Shank Diamond Engagement Ring – Kajal Naina,N/A,N/A,14k Gold approximately 3.0gmsDiamond G/H Si 0.581 ct.,Uncategorized
https://kajalnaina.com/product/sunaumbracelet/,Sun Aum Bracelet – Kajal Naina,US$132,N/A,Diamond 0.08 CtsRuby 0.02 CtsMother of Pearl 2.10 Cts18K Yellow Gold 4.10 GramsLeather Strap,Uncategorized
https://kajalnaina.com/product/sunainabespokering/,Sunaina Bespoke Ring – Kajal Naina,"US$3,195",N/A,14K Rose Gold 15.15 gmsDiamond 0.63 caratCustomer colored Gemstone 20.25 caratCustomer colored Gemstone 5.90 carat,Luminous
https://kajalnaina.com/product/superstars-bracelets-with-black-beads-adult/,Superstars Bracelets with Black Beads (Adult) | 14K Gold & Diamonds | Kajal Naina,US$703,"• 14K Yellow Gold 1.65g
• Round Brilliant Diamonds 0.09ct
• Star Size: 4.5-6mm
• Length: 7.5 Inches","Radiate light wherever you go, it’s your time to shine! Inspired by the celestial universe, the intention of this collection is to bring out the star in every woman – be it a mom, her daughter, or your partner.The Star-themed necklaces, earrings, and bracelets are minimalistic, sleek, and versatile enough to fit any occasion. Wear it individually, paired, or stacked, these chic pieces are sure to brighten your day and elevate your style.","Bracelet, Select By Collection, Select By Type, Shrawan Offer, Superstars Series, You and I"
https://kajalnaina.com/product/tahitianearstudd/,Tahitian Ear stud ( D ) – Kajal Naina,US$200,N/A,empty:,"Brooche, Ear Ring, Earrings, Mothers Day 2025 Ear Studs"
https://kajalnaina.com/product/swing-pearl-earrings/,Swing Pearl Earrings – Kajal Naina,US$520,"• 14K Yellow Gold 3gms
• AAA+ Freshwater Round White Pearls 8.5mm",*Above figures are approximately measured.,Uncategorized
https://kajalnaina.com/product/tahitianpearlandchaindanglerearrings/,Tahitian Pearl and chain dangler earrings – Kajal Naina,US$570,N/A,empty:,"Earring, Pearls, Select By Collection, Select By Type"
https://kajalnaina.com/product/tahitianpearlpendant/,Tahitian Pearl Pendant – Kajal Naina,US$175,N/A,empty:,Mother’s Day 2025 Pearl Pendant
https://kajalnaina.com/product/tahitianpearlstuds/,Tahitian Pearl studs – Kajal Naina,US$470,N/A,empty:,"Earring, Mothers Day 2025 Ear Studs, Pearls"
https://kajalnaina.com/product/taurus-zodiac-oval-pearl-necklace/,Taurus Zodiac Oval Pearl Necklace | 14K Gold & Diamonds | Kajal Naina,"US$870US$960US$691US$1,152US$794US$1,344","• 14K Yellow Gold Pendant & Ball Clasp 1.03gms
• Round Brilliant Diamonds 0.225ct
• AAA+ Freshwater Oval Pearls 4.5-5mm
• Length: 17 Inches","A bejeweled reminder for the hard-headed, down-to-earth, tenacious, reliable, loyal, and sensual Taurus women. We have re-imagined this necklace to represent you just as you are – Beautiful, uncomplicated, and direct in approach.","Kismet, Kismet Pearl Necklace, Necklaces, Pearls, Pendant, Select By Collection, Select By Type"
https://kajalnaina.com/product/vek-skull-ring/,Vek Skull Ring – Kajal Naina,"US$2,396","• 14K Yellow Gold 17.42g
• Diamonds 0.94ct
• Ruby 0.51ct
• US size 10.75",empty:,Uncategorized
https://kajalnaina.com/product/zoya-pearl-and-diamond-earrings/,Zoya Pearl and Diamond Earrings – Kajal Naina,"US$883US$614US$627US$1,075US$1,754US$883","• 14K Yellow Gold 3.12gms
• AAA+ Freshwater Multi-Color Pearls 6-7.5mm
• Round Brilliant Diamond 0.162ct","Zoya meaning Alive- Celebrate a mother’s vibrant energy and zest for life with the Zoya set. Playful, asymmetrical lustrous high quality, multi-coloured round Freshwater pearls represent the joy she brings, while captivating diamonds signify her ever-present sparkle.  This set is perfect for a woman whose love of life is infectious.","2024 Mothers Day - Zoya, Earring, Mothers Day, Pearls, Select By Collection, Select By Type"
https://kajalnaina.com/product/chinese-zodiac-pearl-pendant-rabbit/,Chinese Zodiac Pearl Pendant - Rabbit – Kajal Naina,US$343,"• AAA Freshwater Water White Round Pearl 8-8.5mm
• 14K Yellow Gold 0.504g
• Round Briliant Diamonds 0.004 ct
• Size: 12 x 10mm",empty:,"2023 CNY, 2023 CNY Pendants, Black Friday 2024– Collection A, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/chinese-zodiac-pearl-pendant-snake/,Chinese Zodiac Pearl Pendant - Snake – Kajal Naina,US$343,"• AAA Freshwater Water White Round Pearl 8-8.5mm
• 14K Yellow Gold 0.904g
• Round Briliant Diamonds 0.006 ct
• Size: 8.5x 12mm",empty:,"2023 CNY, 2023 CNY Pendants, Black Friday 2024– Collection A, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/diana-double-oval-pearl-necklace-ball-clasp-2/,Diana Double Oval Pearl Necklace (Ball Clasp) – Kajal Naina,US$509US$582,"• Freshwater White Oval Pearl 7.5-8mm
• 14K Yellow Gold Ball Clasp
• Length: 18 / 20 / 26 Inches",empty:,"Black Friday 2024– Collection A, Necklaces, Pearls, Select By Collection, Select By Type"
https://kajalnaina.com/product/vine-diamond-multi-color-pearl-earrings/,Waterfall Pearl Earrings | 14K Gold & Diamonds | Kajal Naina,"US$1,126","• 14K Gold 3.02gms
• Round Brilliant Diamonds 0.268ct
• AAA+ Freshwater Multi-Color Pearls 4-7mm",empty:,"Earring, Mothers Day, Mothers Day Pearl Special, New In, Pearls, Select By Collection, Select By Type"
https://kajalnaina.com/product/eternity-pearl-and-diamond-ring/,Eternity Pearl and Diamond Ring | Kajal Naina,US$570,"• 14K Yellow Gold 1.86gms
• AAA+ Round Brilliant Diamonds 0.156ct
• Round Freshwater Pearl 8mm",empty:,"Pearls, Ring, Select By Collection, Select By Type"
https://kajalnaina.com/product/lisa-pearl-and-diamond-ring/,Lisa Pearl and Diamond Ring – Kajal Naina,"US$2,022US$986US$2,022US$781US$787US$792US$1,638US$1,510US$269US$228US$998US$1,088US$279","• 14K Yellow Gold 4.36gms
• Tahitian Pearl 11mm
• AAA+ Round Brilliant Diamond 0.497ct
• Ring Size: US 6 / 6.5 / 7","Lisa meaning devoted- The Lisa set radiates warmth and unwavering devotion with its classic design.  Rare, Smooth, round and lustrous high quality Tahitian pearls signify a mother’s nurturing embrace, while sparkling diamonds reflect the guiding light she provides. This set honours her selfless dedication and spiritual guidance.","2024 Mothers Day - Lisa, Black Friday-2024 – Collection B, Mothers Day, Pearls, Ring, Select By Collection, Select By Type"
https://kajalnaina.com/product/silver-grey-jackie-freshwater-pearl-necklace/,Jackie Silver Grey Pearl Necklace – Kajal Naina,US$253,"• AAA+ Silvery Grey Freshwater Pearl 7-7.5mm/7.5-8mm
• 14K Yellow Gold Ball Clasp
• Length: 18/26 Inches","Inspired by Jackie O“Pearls are always appropriate” ~ Jackie O . Every lady needs a good, long-lasting single- layered freshwater pearl necklace; as Jackie herself said, there is no occasion where a pearl doesn’t belong.Made of precious pearls of your choice in size we handpick our pearls out of THOUSANDS of options, to do our best to make a piece that showcases the best from the bunch!It is made of 7.5-8.0mm freshwater pearls, which is the most popular size we carry.The strand is 18 inches in length and will sit just below the collarbone.The pearls are individually knotted on twin silk so they never scratch against each other.This also protects against accidental breakage.The solid 14 karat gold clasp comes with a safety catch for added security.","Black Friday 2024– Collection A, Necklaces, Pearls, Pendant, Select By Collection, Select By Type"
https://kajalnaina.com/product/nazan-evil-eye-earrings/,Nazar Evil Eye Earrings | 14K Gold | Kajal Naina,US$829,"• 14K Yellow Gold 1.58gms
• Blue Sapphire 0.12ct
• Round Brilliant Diamonds 0.14ct",empty:,"Black Friday 2024– Collection A, Ear Ring, Earring, Earrings, Evil Eye, Select By Collection, Select By Type"
https://kajalnaina.com/product/purnima-diamond-earring/,Purnima Diamond Earring – Kajal Naina,US$960,"• 14K Gold 2.0g
• Baguette Diamond 0.223ct
• Round Brilliant Diamond 0.157ct",empty:,"Black Friday-2024 – Collection B, Ear Ring, Earring, Earrings, Select By Type"
https://kajalnaina.com/product/diamond-with-enamel-single-stud/,Diamond with Enamel Single Stud | 14K Gold | Kajal Naina,US$215,"• 14K White Gold / Rose Gold 1.29gms
• Round Diamonds 0.092ct",empty:,"Black Friday-2024 – Collection B, Ear Ring, Earring, Earrings, Select By Collection, Select By Type"
https://kajalnaina.com/product/oval-drop-earrings-2/,Oval Drop Earrings – Kajal Naina,US$172,"• 14K Yellow Gold 0.45g
• Freshwater Oval Pearls",empty:,"Ear Ring, Earring, Earrings, Mother’s Day 2025 Pearl Earrings, Mother’s Day 2025 Ring, Pearls, Select By Collection, Select By Type"
https://kajalnaina.com/product/leopard-pendant-with-pearl/,Leopard Pendant with Pearl – Kajal Naina,US$215,"• AAA Freshwater Oval Pearl 6-6.5mm
• 925 with CZ
• Total Weight 19.7gm",empty:,"2025 enhancer, Luminous"
https://kajalnaina.com/product/split-shank-diamond-engagement-ring-regular/,Split Shank Diamond Engagement Ring - Regular | Kajal Naina,"US$1,779","• 14K Gold 3.34g
• Round Brilliant Diamonds GH/Si-VS1 0.581ct",This eye-catching brilliant Oval center has been created by tightly setting diamonds in a special illusion setting and elevated on a split shank paved with 2 rows of pave diamonds creating a unique and special look. The center illusion is available in regular and large sizes.A luxurious design with a modern twist.,"Black Friday-2024 – Collection B, Engagement Rings, Ring, Select By Collection, Select By Type"
https://kajalnaina.com/product/drop-ruby-blossom-ring/,Drop Ruby Blossom Ring | 14K Gold & Diamonds | Kajal Naina,US$888,"• 14K Yellow Gold 4.17g
• Round Brilliant Diamonds GH/Si-VS1 0.351ct
• Ruby 0.64ct","Flowers have always captured artists’ imagination since times immortal and it brings so much love and life into our life. This collection gets a colorful addition this season with Ruby and diamond flowers that exude a little sophistication, and style and is exquisitely well-made.","Chic, Ring, Select By Collection, Select By Type"
https://kajalnaina.com/product/amethyst-tennis-bracelet/,Amethyst Tennis Bracelet | 14K Gold | Kajal Naina,"US$1,510US$474US$691US$781US$461US$215US$422","• 14K Gold 7.570-8.00g
• Amethyst 4.07-4.20ct
• Box Clasp with Double Safety Latch","A chance for the everyday woman to have the exhilarating feeling of……giving yourself a boost of courage and positive energy…striking up conversations without saying a word…and marking memorable moments.Because when you wear something boldly, intentionally, and uniquely YOU people notice…And what better way to do that than with your birthstone?BONUS: often includes an increase in compliments and confidence.Amethyst jewelry makes an excellent gift for women born at any time of the year. The birthstone for February, Amethyst jewelry is believed to keep its wearer clear-headed and clever. Another interesting fact is that since Purple has long been considered a regal color, historically Amethysts frequently appear in royal and religious jewelry.Our tennis bracelet’s come in an array of beautiful colored gemstones… birthstones and more.A modern take on the traditional tennis bracelet setting which makes it an ever-green style. The setting uses minimal metal to allow the gemstones to stand out. They are so beautiful and versatile that you will want to wear them every day!","Birthstones - The Rainbow, Black Friday 2024? Collection C, Bracelet, Select By Collection, Select By Type"
https://kajalnaina.com/product/peridot-tennis-bracelet/,Peridot Tennis Bracelet for women | August Birthstone | Kajal Naina,"US$1,510US$934US$832US$870US$960US$627US$563","• 14K Gold 8.010g
• Peridot 5.0ct","A chance for the everyday woman to have the exhilarating feeling of……giving yourself a boost of courage and positive energy…striking up conversations without saying a word…and marking memorable moments.Because when you wear something boldly, intentionally, and uniquely YOU people notice…And what better way to do that than with your birthstone?BONUS: often includes an increase of compliments and confidence.The Egyptians called Peridot the “gem of the Sun” and believed it had special healing powers. Peridot is both a day stone and a night stone, keeping its shining color even under artificial lighting. For this reason, it is sometimes called “Evening Emerald”. The colour is so unique. No wonder this is one of our BESTSELLERS already!Our tennis bracelet’s come in an array of beautiful coloured gemstones… birthstones and more.A modern take on the traditional tennis bracelet setting which makes it an ever green style. The setting uses minimal metal to allow the gemstones to stand out. They are so beautiful and versatile you will want to wear yours everyday!","Birthstones - The Rainbow, Black Friday 2024? Collection C, Bracelet, Select By Collection, Select By Type"
https://kajalnaina.com/product/blue-sapphire-tennis-bracelet/,Blue Sapphire Tennis Bracelet | 14K Gold | Kajal Naina,"US$3,200","• 14K Gold 7.93gms
• Blue Sapphire 5.41cts
• Box Clasp with Double Safety Latch","A chance for the everyday woman to have the exhilarating feeling of……giving yourself a boost of courage and positive energy…striking up conversations without saying a word…and marking memorable moments.Because when you wear something boldly, intentionally, and uniquely YOU people notice…And what better way to do that than with your birthstone?BONUS: often includes an increase of compliments and confidence.The meaning behind the September birthstone BLUE SAPPHIRE is actually really interesting. Originally, sapphire was thought to guard against evil. This made it a very popular gem for those seeking protection in their lives. It was also thought to be capable of guarding against poison in various forms. Also since ancient times, the Blue Sapphire has represented a promise of honesty, loyalty, purity and trust. To keep with this tradition, Sapphires are one of the most popular engagement gemstones today.Our tennis bracelet’s come in an array of beautiful coloured gemstones… birthstones and more.A modern take on the traditional tennis bracelet setting which makes it an ever green style. The setting uses minimal metal to allow the gemstones to stand out. They are so beautiful and versatile you will want to wear yours everyday!","Birthstones - The Rainbow, Bracelet, Private VIP Sales, Private VIP Sales Collection C, Select By Collection, Select By Type"
https://kajalnaina.com/product/yellow-topaz-tennis-bracelet/,Yellow Topaz Tennis Bracelet | 14K Gold | Kajal Naina,"US$1,638US$279US$224US$499US$870US$330US$678","• 14K Gold 8.00gms
• Yellow Topaz 5.36ct
• Box Clasp with Double Safety Latch","A chance for the everyday woman to have the exhilarating feeling of……giving yourself a boost of courage and positive energy…striking up conversations without saying a word…and marking memorable moments.Because when you wear something boldly, intentionally, and uniquely YOU people notice…And what better way to do that than with your birthstone?BONUS: often includes an increase of compliments and confidence.Topaz can range in color from colorless, blue, champagne, yellow, orange, red and pink. As a birthstone, this gem is said to provide balance to emotions and can help promote a harmonious lifestyle. In ancient Egypt the yellow variety of Topaz was thought to be a representation of the Sun God Ra because of the intense fiery color. Topaz can be found in many ancient artefacts and talismans because of this fact.Our tennis bracelet’s come in an array of beautiful coloured gemstones… birthstones and more.A modern take on the traditional tennis bracelet setting which makes it an ever green style. The setting uses minimal metal to allow the gemstones to stand out. They are so beautiful and versatile you will want to wear yours everyday!","Birthstones - The Rainbow, Black Friday 2024? Collection C, Bracelet, Select By Collection, Select By Type"
https://kajalnaina.com/product/mystique-london-pendant/,Mystique London Pendant | Kajal Naina,"US$1,702","• 14K White Gold 3.4gm
• Diamond H/Si 0.34 ct.
• London Blue Topaz 5.31 ct.
• AAA Freshwater Pearls x 11 pcs 3-3.5mm upto 7mm
• Size: 40mm from top to bottom","Stand out in the crowd with this beautiful and elegant pendant.Our Mystique Pendant series is exactly as the name says – there’s a quality of mystery, glamour, or power associated with this combination of glistening pearls and beautiful colored gemstones set in solid yellow gold.","Colours, Pearls, Pendant, Select By Collection, Select By Type"
https://kajalnaina.com/product/blessing-aum-necklace-pendant/,Blessing Aum Pendant | 14K Gold & Diamond | Kajal Naina,"US$1,306","• 14K Gold 2.64g
• Round Brilliant Diamond 0.16ct
• Ruby 0.09ct
• Pendant Size: 27x13mm","The meaningful curves of the Aum symbol take a more playful version and are set in diamonds and ruby which gives a richer and more elegant look.It’s super effortless and just the perfect size, neither too big nor too small.Dressed up or dressed down, it’s a great go-to for any look!Aside from enhancing your beauty you naturally would feel more protected when wearing this very precious symbol.","AUM, Black Friday-2024 – Collection B, Necklaces, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/everyday-aum-necklace-in-milgrain/,Award Winning Fine Jewellery Designer Hong Kong | Kajal Naina,"HK$18,720HK$32,700HK$31,800HK$8,200HK$12,800HK$6,990HK$7,690HK$2,900HK$83,000HK$50,800HK$46,800HK$45,430HK$40,560",N/A,empty:,"Black Friday-2024 – Collection B, Laligurans, Laligurans Collection, Mountain Beauty Laligurans, Necklaces, Select By Collection, Select By Type"
https://kajalnaina.com/product/lotus-in-the-pond-renaissance/,Buy 18K Gold | Tsavorite Lotus | Flower Ring | Kajal Naina,"US$0US$2,995","• 18K Yellow Gold Plated 925 Silver / 18K Yellow Gold 29.06g
• Pink Sapphire
• Tsavorite Garnet
• Enamel","Proud to present Lotus in the pond “Renaissance” ring.Finalist amongst hundreds of other designs for the prestigious Saul Bell Awards 2018, Gold/Platinum category, USA.Inspired by the botanic Garden in Singapore, the Lotus in the pond represents the rebirth of creativity. When I moved to Singapore, visiting the Botanic Garden with my children was our favourite activity. Belonging to a picturesque country blessed with mountains and forests, I grew up surrounded by greenery and nature. The botanic garden always made me feel closer to nature. I had just started my journey of becoming a jewellery designer and watching the blooming lotus inspired me to make my dream come true. Above the murky water, the enchanting and colourful flowers looked breathtakingly beautiful.Make heads turn with this unique statement ring while being inspired to rise above any obstacle that may come and bloom pure and beautiful, just like the Lotus.","Ring, Select By Collection, Select By Type, Singapura"
https://kajalnaina.com/product/christmas-tree-pendant/,Magic Bar Christmas Tree Pendant – Kajal Naina,US$215US$279US$215US$279US$343US$279,"• 14K Yellow Gold 0.37g
• Round Brilliant Diamonds 0.019ct",empty:,Black Friday 2024– Collection A
https://kajalnaina.com/product/christmas-gift-pendant/,Magic Bar Christmas Gift Pendant – Kajal Naina,US$279US$215US$343US$279US$279US$279,"• 14K Yellow Gold 0.84g
• Round Brilliant Diamonds 0.008ct",empty:,Black Friday 2024– Collection A
https://kajalnaina.com/product/double-happiness-pendant/,Double Happiness Pendant | 14K Gold & Gemstones | Kajal Naina,"US$1,011US$1,254US$474US$330US$279US$215US$305","• 14K Yellow Gold 3.33g
• Green Garnet 0.16ct / Ruby 0.21 ct
• Turquoise 3.40ct / Mother of Pearl 4.48ct
• Size: 20.3 x 20.3mm","Embrace love and joy with this luxurious 14k gold pendant, featuring the Chinese character “囍” and embellished with dazzling gemstones. Perfect for commemorating a wedding or elevating your own style with a touch of timeless elegance.","Black Friday-2024 – Collection B, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/chinese-zodiac-pendant-sheep/,Chinese Zodiac Pendant - Goat – Kajal Naina,"US$279US$279US$960US$1,638US$330US$627","• 14K Yellow Gold 0.65g
• Round Briliant Diamonds 0.008 ct
• Size: 09 x 11mm
*The above figures are approximately measured.","Creative and gentle, the Goat pendant symbolizes artistic expression and compassion. Wear it to enhance your creativity and nurture your inner peace. A perfect gift for the artistic and compassionate friend.Wearing your zodiac sign can be a way to express your identity and connect with a specific part of your personality. This beautiful and minimalistic design is perfect to make a subtle statement about who you are and what you value.","2023 CNY, 2023 CNY Pendants, Black Friday 2024– Collection A, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/chinese-zodiac-pendant-rooster/,Chinese Zodiac Pendant - Rooster – Kajal Naina,"US$279US$2,278US$755US$870US$433US$279","• 14K Yellow Gold 0.57g
• Round Briliant Diamonds 0.004 ct
• Size: 12 x 12mm
*The above figures are approximately measured.","Confident and organized, the Rooster pendant symbolizes discipline and punctuality. Wear it to enhance your focus and achieve your goals with efficiency. An ideal gift for the organized and efficient friend.Wearing your zodiac sign can be a way to express your identity and connect with a specific part of your personality. This beautiful and minimalistic design is perfect to make a subtle statement about who you are and what you value.","2023 CNY, 2023 CNY Pendants, Black Friday 2024– Collection A, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/chinese-zodiac-pendant-cow/,Chinese Zodiac Pendant - Ox – Kajal Naina,"US$279US$755US$433US$215US$305US$525US$1,344","• 14K Yellow Gold 0.56g
• Round Briliant Diamonds 0.006 ct
• Size: 11 x 13mm
*The above figures are approximately measured.","Strong and dependable, the Ox pendant symbolizes diligence and perseverance. Wear it to enhance your determination and achieve your goals. A perfect gift for the reliable and hardworking friend.Wearing your zodiac sign can be a way to express your identity and connect with a specific part of your personality. This beautiful and minimalistic design is perfect to make a subtle statement about who you are and what you value.","2023 CNY, 2023 CNY Pendants, Black Friday 2024– Collection A, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/chinese-zodiac-pendant-dragon/,Chinese Zodiac Pendant - Dragon – Kajal Naina,"US$279US$279US$305US$678US$794US$1,254US$960US$1,050","• 14K Yellow Gold 0.92g
• Round Briliant Diamonds 0.003 ct
• Size: 12 x 13mm
*The above figures are approximately measured.","Powerful and charismatic, the Dragon pendant attracts good fortune and success. Wear it to enhance your leadership qualities and inspire those around you. A perfect gift for the ambitious and charismatic friend.Wearing your zodiac sign can be a way to express your identity and connect with a specific part of your personality. This beautiful and minimalistic design is perfect to make a subtle statement about who you are and what you value.","2023 CNY Pendants, Black Friday 2024– Collection A, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/chinese-zodiac-pendant-ribbit/,Chinese Zodiac Pendant - Rabbit – Kajal Naina,"US$279US$1,344US$1,434US$279US$422US$2,278US$279","• 14K Yellow Gold 0.45g
• Round Briliant Diamonds 0.004 ct
• Size: 12 x 10mm","Gentle and compassionate, the Rabbit pendant brings peace and harmony. Wear it to attract kindness and cultivate loving relationships. A thoughtful gift for the gentle and caring friend.Wearing your zodiac sign can be a way to express your identity and connect with a specific part of your personality. This beautiful and minimalistic design is perfect to make a subtle statement about who you are and what you value.","2023 CNY, 2023 CNY Pendants, Black Friday 2024– Collection A, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/chinese-zodia-pendant-dog/,Chinese Zodiac Pendant - Dog – Kajal Naina,"US$279US$1,510US$269US$228US$998US$1,088US$279","• 14K Yellow Gold 0.72g
• Round Briliant Diamonds 0.009 ct
• Size: 11 x 12mm","Loyal and trustworthy, the Dog pendant brings protection and friendship. Wear it to strengthen your bonds with loved ones and attract loyal companions. A perfect gift for the loyal and supportive friend.Wearing your zodiac sign can be a way to express your identity and connect with a specific part of your personality. This beautiful and minimalistic design is perfect to make a subtle statement about who you are and what you value.","2023 CNY, 2023 CNY Pendants, Black Friday 2024– Collection A, New In, Pendant, Pendants, Select By Collection"
https://kajalnaina.com/product/chinese-zodia-pendant-pig/,Chinese Zodiac Pendant - Pig – Kajal Naina,"US$279US$215US$302US$353US$909US$998US$2,931US$461","• 14K Yellow Gold 0.63g
• Round Briliant Diamonds 0.009 ct
• Size: 09 x 14mm
*The above figures are approximately measured.","Compassionate and generous, the Pig pendant symbolizes good fortune and abundance. Wear it to attract prosperity and share your blessings with others. A thoughtful gift for the generous and kind-hearted friend.Wearing your zodiac sign can be a way to express your identity and connect with a specific part of your personality. This beautiful and minimalistic design is perfect to make a subtle statement about who you are and what you value.","2023 CNY, 2023 CNY Pendants, Black Friday 2024– Collection A, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/chinese-zodiac-pendant-rat/,Chinese Zodiac Pendant - Rat – Kajal Naina,"US$279US$279US$305US$678US$794US$1,254US$960US$1,050","• 14K Yellow Gold 0.61g
• Round Briliant Diamonds 0.009 ct
• Size: 12 x 7.5mm","Clever and resourceful, the Rat pendant brings good luck and prosperity. Wear it to attract success and abundance in all areas of life. A thoughtful gift for the ambitious and quick-witted friend.Wearing your zodiac sign can be a way to express your identity and connect with a specific part of your personality. This beautiful and minimalistic design is perfect to make a subtle statement about who you are and what you value.","2023 CNY, 2023 CNY Pendants, Black Friday 2024– Collection A, Pendant, Pendants, Select By Collection, Select By Type"
https://kajalnaina.com/product/chinese-zodiac-pendant-monkey/,Chinese Zodiac Pendant - Monkey – Kajal Naina,"US$279US$279US$960US$1,638US$330US$627","• 14K Yellow Gold 0.67g
• Round Briliant Diamonds 0.018 ct
• Size: 11 x 08mm","Playful and intelligent, the Monkey pendant brings joy and good luck. Wear it to attract positive energy and embrace your playful side. A thoughtful gift for the witty and fun-loving friend.Wearing your zodiac sign can be a way to express your identity and connect with a specific part of your personality. This beautiful and minimalistic design is perfect to make a subtle statement about who you are and what you value.","2023 CNY, 2023 CNY Pendants, Black Friday 2024– Collection A, Pendant, Pendants, Select By Collection, Select By Type"
